S.no,flat,Area(sqft),Rate,Amount,Per Day,fixed
1.00,103,580.00,24.54,14233.20,237.22,7464.25
2.00,104,626.00,24.54,15362.04,256.03,8056.24
3.00,105,626.00,24.54,15362.04,256.03,8056.24
4.00,106,565.00,24.54,13865.10,231.09,7271.21
5.00,107,639.00,24.54,15681.06,261.35,8223.54
6.00,108,512.00,24.54,12564.48,209.41,6589.13
7.00,109,587.00,24.54,14404.98,240.08,7554.34
8.00,110,586.00,24.54,14380.44,239.67,7541.47
9.00,111,761.00,24.54,18674.94,311.25,9793.61
10.00,112,700.00,24.54,17178.00,286.30,9008.58
11.00,113,8682.00,24.54,213056.28,3550.94,111732.10
12.00,117,626.00,24.54,15362.04,256.03,8056.24
13.00,118,574.00,24.54,14085.96,234.77,7387.03
14.00,123,700.00,24.54,17178.00,286.30,9008.58
15.00,124,1721.00,24.54,42233.34,703.89,22148.23
16.00,125,1722.00,24.54,42257.88,704.30,22161.10
17.00,1101,5400.00,24.54,132516.00,2208.60,69494.74
18.00,1103,580.00,24.54,14233.20,237.22,7464.25
19.00,1104,1252.00,24.54,30724.08,512.07,16112.48
20.00,1106,565.00,24.54,13865.10,231.09,7271.21
21.00,1107,639.00,24.54,15681.06,261.35,8223.54
22.00,1108,512.00,24.54,12564.48,209.41,6589.13
23.00,1109,587.00,24.54,14404.98,240.08,7554.34
24.00,1110,580.00,24.54,14233.20,237.22,7464.25
25.00,1111,873.00,24.54,21423.42,357.06,11234.98
26.00,1112,574.00,24.54,14085.96,234.77,7387.03
27.00,1114,9259.00,24.54,227215.86,3786.93,119157.74
28.00,1116,580.00,24.54,14233.20,237.22,7464.25
29.00,1117,626.00,24.54,15362.04,256.03,8056.24
30.00,1118,574.00,24.54,14085.96,234.77,7387.03
31.00,1119,3810.00,24.54,93497.40,1558.29,49032.40
32.00,1120,1312.00,24.54,32196.48,536.61,16884.65
33.00,1121,626.00,24.54,15362.04,256.03,8056.24
34.00,1122,626.00,24.54,15362.04,256.03,8056.24
35.00,1123,580.00,24.54,14233.20,237.22,7464.25
36.00,1124,620.00,24.54,15214.80,253.58,7979.03
37.00,1125,594.00,24.54,14576.76,242.95,7644.42
38.00,1126,1010.00,24.54,24785.40,413.09,12998.09
39.00,1127,1010.00,24.54,24785.40,413.09,12998.09
